lr-Adam,step,train_loss_step,train_acc_step,epoch,train_loss_epoch,train_acc_epoch,test_loss_step,test_acc_step,test_loss_epoch,test_acc_epoch
,1949,0.8671306371688843,0.6875,19,,,,,,
,1959,,,19,0.8287400603294373,0.705299973487854,,,,
0.01604768970050282,1999,,,,,,,,,
,1999,0.700632631778717,0.767578125,20,,,,,,
0.012832894668187954,2049,,,,,,,,,
,2049,0.8231567144393921,0.712890625,20,,,,,,
,2057,,,20,0.7814742922782898,0.7207800149917603,,,,
0.009929679189326548,2099,,,,,,,,,
,2099,0.7850940227508545,0.71875,21,,,,,,
0.007362381390516893,2149,,,,,,,,,
,2149,0.7603402733802795,0.728515625,21,,,,,,
,2155,,,21,0.7346468567848206,0.7404599785804749,,,,
0.005152523345920496,2199,,,,,,,,,
,2199,0.6353391408920288,0.779296875,22,,,,,,
0.003318630654221059,2249,,,,,,,,,
,2249,0.7111108899116516,0.734375,22,,,,,,
,2253,,,22,0.6898385286331177,0.7548400163650513,,,,
0.0018760771355236289,2299,,,,,,,,,
,2299,0.6660857796669006,0.7578125,23,,,,,,
0.0008369559501253081,2349,,,,,,,,,
,2349,0.7332656383514404,0.736328125,23,,,,,,
,2351,,,23,0.6563878655433655,0.7677599787712097,,,,
0.00020997821958951943,2399,,,,,,,,,
,2399,0.6504359841346741,0.775390625,24,,,,,,
4e-07,2449,,,,,,,,,
,2449,0.7313299775123596,0.738095223903656,24,,,,,,
,2449,,,24,0.642106831073761,0.773419976234436,,,,
,0,,,,,,0.5793262720108032,0.794921875,,
,1,,,,,,0.6053385138511658,0.794921875,,
,2,,,,,,0.5843809843063354,0.806640625,,
,3,,,,,,0.6240687966346741,0.78515625,,
,4,,,,,,0.5571919083595276,0.806640625,,
,5,,,,,,0.5983669757843018,0.791015625,,
,6,,,,,,0.7069902420043945,0.763671875,,
,7,,,,,,0.610429584980011,0.794921875,,
,8,,,,,,0.5940136313438416,0.77734375,,
,9,,,,,,0.6525869369506836,0.771484375,,
,10,,,,,,0.6394085884094238,0.759765625,,
,11,,,,,,0.7092134952545166,0.75,,
,12,,,,,,0.5875952839851379,0.787109375,,
,13,,,,,,0.5421253442764282,0.81640625,,
,14,,,,,,0.6121366620063782,0.80078125,,
,15,,,,,,0.7067145705223083,0.744140625,,
,16,,,,,,0.6242189407348633,0.794921875,,
,17,,,,,,0.5582783222198486,0.80859375,,
,18,,,,,,0.5584186911582947,0.8125,,
,19,,,,,,0.5490658283233643,0.8198529481887817,,
,2450,,,25,,,,,0.6114557385444641,0.7882999777793884
