lr-Adam,step,train_loss_step,train_acc_step,epoch,valid_loss,valid_acc,train_loss_epoch,train_acc_epoch,test_loss,test_acc
,1342,,,16,,,1.1106022596359253,0.604324996471405,,
0.08319239916443437,1349,,,,,,,,,
,1349,1.0836282968521118,0.62109375,17,,,,,,
0.08005174753189725,1399,,,,,,,,,
,1399,1.0399938821792603,0.630859375,17,,,,,,
,1421,,,17,1.7468371391296387,0.4185999929904938,,,,
,1421,,,17,,,1.05086350440979,0.6258749961853027,,
0.07671327058783839,1449,,,,,,,,,
,1449,1.0635594129562378,0.6171875,18,,,,,,
0.07319894507873867,1499,,,,,,,,,
,1499,0.9437373876571655,0.685546875,18,,,,,,
,1500,,,18,1.7136211395263672,0.4120999872684479,,,,
,1500,,,18,,,1.0476340055465698,0.6267250180244446,,
0.06953190533862492,1549,,,,,,,,,
,1549,1.0045629739761353,0.638671875,19,,,,,,
,1579,,,19,1.5500115156173706,0.4867999851703644,,,,
,1579,,,19,,,1.0247725248336792,0.6332250237464905,,
0.06573629099884827,1599,,,,,,,,,
,1599,1.082948923110962,0.611328125,20,,,,,,
0.06183708808012483,1649,,,,,,,,,
,1649,1.0427929162979126,0.63671875,20,,,,,,
,1658,,,20,1.9371163845062256,0.4117000102996826,,,,
,1658,,,20,,,0.9963987469673157,0.6449249982833862,,
0.05785996451290852,1699,,,,,,,,,
,1699,1.0394479036331177,0.626953125,21,,,,,,
,1737,,,21,1.550589680671692,0.5066999793052673,,,,
,1737,,,21,,,0.9953932762145996,0.6440250277519226,,
0.053831101168843695,1749,,,,,,,,,
,1749,0.9875383377075195,0.630859375,22,,,,,,
0.04977701951559423,1799,,,,,,,,,
,1799,1.0577309131622314,0.623046875,22,,,,,,
,1816,,,22,2.7716965675354004,0.36070001125335693,,,,
,1816,,,22,,,0.9660305380821228,0.6560500264167786,,
0.04572440702957508,1849,,,,,,,,,
,1849,0.9887263774871826,0.640625,23,,,,,,
,1895,,,23,1.57706880569458,0.49880000948905945,,,,
,1895,,,23,,,0.9305640459060669,0.6702250242233276,,
0.04169994151587004,1899,,,,,,,,,
,1899,0.902679443359375,0.697265625,24,,,,,,
0.03773011549181493,1949,,,,,,,,,
,1949,0.9145437479019165,0.677734375,24,,,,,,
,1974,,,24,1.0646953582763672,0.6189000010490417,,,,
,1974,,,24,,,0.9024956226348877,0.6810250282287598,,
0.033841061790305084,1999,,,,,,,,,
,1999,0.9190329313278198,0.673828125,25,,,,,,
0.030058381530857152,2049,,,,,,,,,
,2049,0.7847654819488525,0.708984375,25,,,,,,
,2053,,,25,1.304816722869873,0.5648000240325928,,,,
,2053,,,25,,,0.8826755881309509,0.6884999871253967,,
0.02640697559086917,2099,,,,,,,,,
,2099,0.844576358795166,0.68359375,26,,,,,,
,2132,,,26,1.1619664430618286,0.5842999815940857,,,,
,2132,,,26,,,0.8440058827400208,0.7034000158309937,,
0.022910880686480443,2149,,,,,,,,,
,2149,0.9398270845413208,0.67578125,27,,,,,,
0.019593111142089253,2199,,,,,,,,,
,2199,0.8654437065124512,0.6875,27,,,,,,
,2211,,,27,0.9728615283966064,0.6478000283241272,,,,
,2211,,,27,,,0.8225235342979431,0.7104750275611877,,
0.016475507390138578,2249,,,,,,,,,
,2249,0.7657182216644287,0.732421875,28,,,,,,
,2290,,,28,0.8386892676353455,0.7006999850273132,,,,
,2290,,,28,,,0.7778872847557068,0.7268750071525574,,
0.013578592198475094,2299,,,,,,,,,
,2299,0.7532054781913757,0.72265625,29,,,,,,
0.010921435571717836,2349,,,,,,,,,
,2349,0.6947966814041138,0.7421875,29,,,,,,
,2369,,,29,0.8002244830131531,0.7174999713897705,,,,
,2369,,,29,,,0.7504603266716003,0.7344250082969666,,
0.008521529215972554,2399,,,,,,,,,
,2399,0.7139742970466614,0.748046875,30,,,,,,
,2448,,,30,0.8011447787284851,0.7177000045776367,,,,
,2448,,,30,,,0.7175160646438599,0.7487750053405762,,
0.006394671393273657,2449,,,,,,,,,
,2449,0.7491785883903503,0.74609375,31,,,,,,
0.004554862923741684,2499,,,,,,,,,
,2499,0.6985365152359009,0.7578125,31,,,,,,
,2527,,,31,0.6917365789413452,0.7516999840736389,,,,
,2527,,,31,,,0.6788734197616577,0.7613999843597412,,
0.0030142150200600623,2549,,,,,,,,,
,2549,0.6150518655776978,0.775390625,32,,,,,,
0.001782869560984558,2599,,,,,,,,,
,2599,0.6933593153953552,0.763671875,32,,,,,,
,2606,,,32,0.6895222663879395,0.7574999928474426,,,,
,2606,,,32,,,0.6521493792533875,0.7699249982833862,,
0.0008689323287140396,2649,,,,,,,,,
,2649,0.6375788450241089,0.775390625,33,,,,,,
,2685,,,33,0.6620442271232605,0.7660999894142151,,,,
,2685,,,33,,,0.6324019432067871,0.7784500122070312,,
0.00027841964961216676,2699,,,,,,,,,
,2699,0.6729171872138977,0.759765625,34,,,,,,
1.5218789536947162e-05,2749,,,,,,,,,
,2749,0.5506753921508789,0.80078125,34,,,,,,
,2764,,,34,0.667976438999176,0.7642999887466431,,,,
,2764,,,34,,,0.6198492050170898,0.7810500264167786,,
,2765,,,35,,,,,0.6004763245582581,0.7961000204086304
