lr-Adam,step,train_loss_step,train_acc_step,epoch,valid_loss,valid_acc,train_loss_epoch,train_acc_epoch,test_loss,test_acc
0.004826167939678341,49,,,,,,,,,
,49,1.748022437095642,0.3515625,0,,,,,,
,78,,,0,1.8940074443817139,0.305400013923645,,,,
,78,,,0,,,1.8937078714370728,0.3093250095844269,,
0.007342644083661878,99,,,,,,,,,
,99,1.612845540046692,0.4140625,1,,,,,,
0.011459586044209755,149,,,,,,,,,
,149,1.451712727546692,0.4453125,1,,,,,,
,157,,,1,1.625625491142273,0.4154999852180481,,,,
,157,,,1,,,1.530153751373291,0.43652498722076416,,
0.01702944758304982,199,,,,,,,,,
,199,1.2823632955551147,0.541015625,2,,,,,,
,236,,,2,2.271963596343994,0.27570000290870667,,,,
,236,,,2,,,1.3974756002426147,0.49344998598098755,,
0.023852611575231608,249,,,,,,,,,
,249,1.3895865678787231,0.501953125,3,,,,,,
0.03168454404631295,299,,,,,,,,,
,299,1.2716542482376099,0.54296875,3,,,,,,
,315,,,3,1.896880865097046,0.4059999883174896,,,,
,315,,,3,,,1.2960031032562256,0.5313249826431274,,
0.04024455797530029,349,,,,,,,,,
,349,1.1200616359710693,0.5859375,4,,,,,,
,394,,,4,1.728901982307434,0.4235999882221222,,,,
,394,,,4,,,1.195389747619629,0.5734500288963318,,
0.04922587277920693,399,,,,,,,,,
,399,1.3001161813735962,0.55859375,5,,,,,,
0.0583066089594261,449,,,,,,,,,
,449,1.0908303260803223,0.607421875,5,,,,,,
,473,,,5,1.9530335664749146,0.37279999256134033,,,,
,473,,,5,,,1.1788941621780396,0.5794249773025513,,
0.06716132387504307,499,,,,,,,,,
,499,1.2773945331573486,0.560546875,6,,,,,,
0.07547267521487366,549,,,,,,,,,
,549,1.0488252639770508,0.640625,6,,,,,,
,552,,,6,2.568645477294922,0.3000999987125397,,,,
,552,,,6,,,1.2025678157806396,0.5685750246047974,,
0.0829427941634471,599,,,,,,,,,
,599,1.187059998512268,0.544921875,7,,,,,,
,631,,,7,4.654505252838135,0.17100000381469727,,,,
,631,,,7,,,1.1802244186401367,0.5788000226020813,,
0.08930396066037159,649,,,,,,,,,
,649,1.1895240545272827,0.56640625,8,,,,,,
0.09432819816465181,699,,,,,,,,,
,699,1.1452174186706543,0.59765625,8,,,,,,
,710,,,8,2.0368871688842773,0.39649999141693115,,,,
,710,,,8,,,1.225748896598816,0.5593500137329102,,
0.09783544405916898,749,,,,,,,,,
,749,1.2098617553710938,0.556640625,9,,,,,,
,789,,,9,2.076460361480713,0.33340001106262207,,,,
,789,,,9,,,1.2001897096633911,0.5716750025749207,,
0.09970000287787321,799,,,,,,,,,
,799,1.1591722965240479,0.59375,10,,,,,,
0.09997232298068263,849,,,,,,,,,
,849,1.167742371559143,0.59375,10,,,,,,
,868,,,10,3.2450010776519775,0.2930999994277954,,,,
,868,,,10,,,1.161790132522583,0.5849249958992004,,
0.09967299383598947,899,,,,,,,,,
,899,1.148655652999878,0.580078125,11,,,,,,
,947,,,11,8.996320724487305,0.1354999989271164,,,,
,947,,,11,,,1.1717758178710938,0.5799499750137329,,
0.09904667534393143,949,,,,,,,,,
,949,1.3045063018798828,0.5546875,12,,,,,,
0.09809749047523643,999,,,,,,,,,
,999,1.1112931966781616,0.611328125,12,,,,,,
,1026,,,12,5.466811656951904,0.1770000010728836,,,,
,1026,,,12,,,1.1349737644195557,0.5965499877929688,,
0.09683168758673674,1049,,,,,,,,,
,1049,1.0300744771957397,0.59765625,13,,,,,,
0.09525759928927305,1099,,,,,,,,,
,1099,1.2006381750106812,0.564453125,13,,,,,,
,1105,,,13,4.604747772216797,0.21070000529289246,,,,
,1105,,,13,,,1.1409506797790527,0.5935500264167786,,
0.09338558759523345,1149,,,,,,,,,
,1149,1.150926113128662,0.580078125,14,,,,,,
,1184,,,14,2.0616493225097656,0.3806999921798706,,,,
,1184,,,14,,,1.1128191947937012,0.6010000109672546,,
0.09122797570681423,1199,,,,,,,,,
,1199,1.1205042600631714,0.615234375,15,,,,,,
0.08879896689403056,1249,,,,,,,,,
,1249,1.1313073635101318,0.6015625,15,,,,,,
,1263,,,15,1.7163652181625366,0.4481000006198883,,,,
,1263,,,15,,,1.0985342264175415,0.6099500060081482,,
0.08611455099649278,1299,,,,,,,,,
,1299,1.048570990562439,0.599609375,16,,,,,,
,1342,,,16,1.4502999782562256,0.492000013589859,,,,
