lr-Adam,step,train_loss_step,train_acc_step,epoch,valid_loss,valid_acc,train_loss_epoch,train_acc_epoch,test_loss,test_acc
0.004405123915456277,49,,,,,,,,,
,49,1.8535423278808594,0.3203125,0,,,,,,
,78,,,0,1.6829683780670166,0.37389999628067017,,,,
,78,,,0,,,1.9934462308883667,0.2642250061035156,,
0.005646566363363831,99,,,,,,,,,
,99,1.6039575338363647,0.400390625,1,,,,,,
0.007702677764770058,149,,,,,,,,,
,149,1.5027979612350464,0.43359375,1,,,,,,
,157,,,1,2.0999178886413574,0.33489999175071716,,,,
,157,,,1,,,1.55617356300354,0.4193750023841858,,
0.010537321635443977,199,,,,,,,,,
,199,1.3164584636688232,0.537109375,2,,,,,,
,236,,,2,1.609374761581421,0.4212999939918518,,,,
,236,,,2,,,1.3954755067825317,0.48820000886917114,,
0.014100678659436663,249,,,,,,,,,
,249,1.21155846118927,0.552734375,3,,,,,,
0.01833012227146634,299,,,,,,,,,
,299,1.0794312953948975,0.6015625,3,,,,,,
,315,,,3,2.0674519538879395,0.4041000008583069,,,,
,315,,,3,,,1.231344223022461,0.5536749958992004,,
0.023151319328743536,349,,,,,,,,,
,349,1.1865859031677246,0.56640625,4,,,,,,
,394,,,4,1.7005679607391357,0.46000000834465027,,,,
,394,,,4,,,1.168303370475769,0.5836250185966492,,
0.02847953652775398,399,,,,,,,,,
,399,1.196105718612671,0.5625,5,,,,,,
0.034221129605516876,449,,,,,,,,,
,449,1.0906168222427368,0.6015625,5,,,,,,
,473,,,5,2.2660446166992188,0.39640000462532043,,,,
,473,,,5,,,1.1246633529663086,0.6001499891281128,,
0.04027518915237031,499,,,,,,,,,
,499,1.0668449401855469,0.623046875,6,,,,,,
0.046535314110862605,549,,,,,,,,,
,549,1.1076909303665161,0.607421875,6,,,,,,
,552,,,6,2.389805555343628,0.40220001339912415,,,,
,552,,,6,,,1.1273117065429688,0.5981749892234802,,
0.05289148179122532,599,,,,,,,,,
,599,1.1205735206604004,0.599609375,7,,,,,,
,631,,,7,3.031250476837158,0.28790000081062317,,,,
,631,,,7,,,1.1063100099563599,0.6070250272750854,,
0.059231981537609,649,,,,,,,,,
,649,1.223408579826355,0.55078125,8,,,,,,
0.0654453780605907,699,,,,,,,,,
,699,1.083728313446045,0.61328125,8,,,,,,
,710,,,8,1.758934736251831,0.40560001134872437,,,,
,710,,,8,,,1.144654631614685,0.5931500196456909,,
0.07142246993007297,749,,,,,,,,,
,749,1.0873390436172485,0.609375,9,,,,,,
,789,,,9,2.4054934978485107,0.3391999900341034,,,,
,789,,,9,,,1.1206035614013672,0.602275013923645,,
0.0770582088077504,799,,,,,,,,,
,799,1.1709010601043701,0.5546875,10,,,,,,
0.08225354568832904,849,,,,,,,,,
,849,1.1321194171905518,0.611328125,10,,,,,,
,868,,,10,2.2379868030548096,0.41029998660087585,,,,
,868,,,10,,,1.135428547859192,0.5955749750137329,,
0.08691717170151567,899,,,,,,,,,
,899,1.0739428997039795,0.634765625,11,,,,,,
,947,,,11,3.4919934272766113,0.2410999983549118,,,,
,947,,,11,,,1.1304203271865845,0.5987750291824341,,
0.09096712287990591,949,,,,,,,,,
,949,1.2255182266235352,0.564453125,12,,,,,,
0.09433222068872105,999,,,,,,,,,
,999,1.1264265775680542,0.587890625,12,,,,,,
,1026,,,12,2.063645601272583,0.35740000009536743,,,,
,1026,,,12,,,1.1244592666625977,0.6017749905586243,,
